country,year,carbon_total,carbon_per_person,coal,sulfur,greenhouse
Algeria,1970,15100,1.04,0.0057,21.8,34600
Argentina,1970,82700,3.46,0.0409,226,222000
Australia,1970,148000,11.5,1.55,503,319000
Austria,1970,50700,6.74,0.639,208,68400
Azerbaijan,1970,33700,6.51,0,61.4,26300
Bangladesh,1970,3810,0.0593,0,85.9,113000
Belarus,1970,73900,8.29,0,309,137000
Belgium,1970,126000,13,1.69,565,160000
Brazil,1970,93600,0.984,0.0256,416,1260000
Bulgaria,1970,61200,7.2,0.943,869,88000
Canada,1970,341000,16,0.789,3270,495000
Chile,1970,24700,2.52,0.134,559,42200
China,1970,771000,0.931,0.201,3630,1870000
Colombia,1970,28400,1.32,0.102,46,128000
Czech Republic,1970,155000,15.7,3.78,943,213000
Denmark,1970,62100,12.6,0.476,287,78800
Ecuador,1970,4280,0.705,0,23.6,13700
Egypt,1970,21700,0.628,0.0125,52,56900
Finland,1970,40400,8.76,0.493,258,59000
France,1970,440000,8.67,0.682,1550,615000
Germany,1970,1030000,13.1,1.9,3950,1290000
Greece,1970,24100,2.79,0.292,96.6,38700
Hungary,1970,70000,6.75,0.891,851,87700
India,1970,195000,0.351,0.0678,847,746000
Indonesia,1970,35800,0.312,0.00076,33.9,340000
Iran,1970,91900,3.22,0.012,409,142000
Ireland,1970,19400,6.67,0.729,94,47200
Israel,1970,16600,5.89,0,123,17300
Italy,1970,297000,5.54,0.184,1420,388000
Japan,1970,769000,7.32,0.576,2490,941000
Kazakhstan,1970,152000,11.6,0,918,186000
Kuwait,1970,25000,33.6,0,233,68100
Lithuania,1970,20400,6.51,0,130,102000
Malaysia,1970,14600,1.35,0.00148,70.2,113000
Mexico,1970,114000,2.21,0.0207,395,211000
Netherlands,1970,142000,10.9,0.353,404,184000
New Zealand,1970,14200,5.04,0.501,39.2,49600
Norway,1970,28000,7.22,0.221,85.5,57100
Pakistan,1970,20500,0.353,0.0159,160,87100
Peru,1970,17800,1.32,0.00652,229,55300
Philippines,1970,24800,0.692,0.00055,160,78200
Poland,1970,304000,9.33,2.15,1360,466000
Portugal,1970,15200,1.76,0.0537,58,26900
Qatar,1970,7570,69.1,0,0.708,13100
Romania,1970,120000,5.84,0.349,299,176000
Russia,1970,1450000,11.1,0,7610,2240000
Saudi Arabia,1970,45300,7.76,0,266,78200
Singapore,1970,18200,8.79,0.00145,23.7,0
Slovak Republic,1970,49400,10.9,1.45,314,53500
South Africa,1970,150000,6.78,1.2,557,254000
South Korea,1970,53800,1.67,0.175,183,88600
Spain,1970,117000,3.45,0.289,937,173000
Sweden,1970,92400,11.5,0.236,465,113000
Switzerland,1970,40300,6.55,0.106,104,50100
Thailand,1970,15400,0.417,0.00393,52.9,110000
Trinidad and Tobago,1970,9000,9.52,0,142,0
Turkey,1970,42600,1.22,0.133,164,94400
Turkmenistan,1970,26700,12.2,0,54.1,29900
Ukraine,1970,438000,9.29,0,1610,561000
United Arab Emirates,1970,15200,65,0,0.141,33000
United Kingdom,1970,653000,11.8,1.73,3210,840000
United States,1970,4330000,20.7,1.47,14200,5400000
Uzbekistan,1970,71800,5.95,0,201,82900
Venezuela,1970,74600,6.54,0.00207,456,137000
Vietnam,1970,28200,0.65,0.0301,25,79100
Algeria,1971,18700,1.26,0.00154,25.9,38900
Argentina,1971,88900,3.67,0.0331,251,214000
Australia,1971,153000,11.7,1.53,458,314000
Austria,1971,52100,6.9,0.583,196,71100
Azerbaijan,1971,35800,6.77,0,62.7,26700
Bangladesh,1971,3610,0.0551,0,77.2,108000
Belarus,1971,78400,8.73,0,316,139000
Belgium,1971,121000,12.6,1.39,500,154000
Brazil,1971,102000,1.05,0.0251,423,969000
Bulgaria,1971,64300,7.51,0.925,885,88200
Canada,1971,353000,16.2,0.738,3130,512000
Chile,1971,27100,2.72,0.127,564,43500
China,1971,875000,1.03,0.226,4030,1910000
Colombia,1971,30300,1.38,0.0771,48.2,113000
Czech Republic,1971,162000,16.5,3.93,993,213000
Denmark,1971,57100,11.5,0.29,228,74900
Ecuador,1971,4220,0.676,0,27.3,12600
Egypt,1971,23000,0.652,0.01,70.7,56600
Finland,1971,40600,8.76,0.435,236,58500
France,1971,464000,9.06,0.62,1610,630000
Germany,1971,1040000,13.2,1.81,3920,1280000
Greece,1971,27800,3.19,0.428,121,43200
Hungary,1971,69300,6.66,0.86,845,90700
India,1971,205000,0.362,0.0673,834,754000
Indonesia,1971,39000,0.331,0.00085,54.6,294000
Iran,1971,102000,3.47,0.00825,411,151000
Ireland,1971,22500,7.64,0.687,94.5,50200
Israel,1971,16200,5.6,0,135,17400
Italy,1971,311000,5.78,0.177,1440,399000
Japan,1971,797000,7.49,0.515,2170,960000
Kazakhstan,1971,161000,12.2,0,939,183000
Kuwait,1971,27100,34,0,217,71400
Lithuania,1971,21700,6.85,0,133,103000
Malaysia,1971,16700,1.51,0.00371,50.5,85000
Mexico,1971,126000,2.38,0.0251,379,215000
Netherlands,1971,141000,10.7,0.263,335,187000
New Zealand,1971,15100,5.25,0.437,37.7,48300
Norway,1971,27200,6.96,0.206,75.3,55500
Pakistan,1971,19500,0.326,0.0123,143,88300
Peru,1971,18600,1.34,0.0089,228,49500
Philippines,1971,27600,0.748,0.00052,182,78600
Poland,1971,313000,9.52,2.18,1440,468000
Portugal,1971,16400,1.88,0.0494,53.5,28800
Qatar,1971,9150,76.6,0,0.653,15600
Romania,1971,126000,6.05,0.364,301,179000
Russia,1971,1530000,11.7,0,7780,2240000
Saudi Arabia,1971,59800,9.8,0,249,94000
Singapore,1971,16600,7.86,0.00188,31.9,0
Slovak Republic,1971,51800,11.3,1.51,331,52000
South Africa,1971,169000,7.44,1.25,583,250000
South Korea,1971,58600,1.78,0.173,197,89200
Spain,1971,129000,3.75,0.287,1030,184000
Sweden,1971,84600,10.4,0.212,423,107000
Switzerland,1971,41900,6.76,0.0708,93.5,51300
Thailand,1971,19200,0.507,0.00301,69.5,105000
Trinidad and Tobago,1971,8100,8.48,0,126,8110
Turkey,1971,47700,1.33,0.133,175,99400
Turkmenistan,1971,28400,12.6,0,55.3,30300
Ukraine,1971,464000,9.79,0,1650,565000
United Arab Emirates,1971,21200,76.3,0,3.38,41400
United Kingdom,1971,661000,11.9,1.52,3020,837000
United States,1971,4350000,20.6,1.38,13500,5440000
Uzbekistan,1971,76300,6.13,0,205,84400
Venezuela,1971,62600,5.33,0.012,409,124000
Vietnam,1971,24500,0.551,0.0322,23.7,77400
Algeria,1972,28300,1.85,0.0013,22.4,53700
Argentina,1972,90100,3.66,0.0291,200,224000
Australia,1972,157000,11.9,1.57,486,355000
Austria,1972,56100,7.4,0.527,200,73500
Azerbaijan,1972,37700,7,0,64.4,28200
Bangladesh,1972,3510,0.0527,0.00138,81.2,110000
Belarus,1972,82600,9.12,0,325,144000
Belgium,1972,131000,13.5,1.33,529,166000
Brazil,1972,114000,1.14,0.0258,466,1140000
Bulgaria,1972,66100,7.68,0.948,888,91400
Canada,1972,381000,17.3,0.685,2930,497000
Chile,1972,28200,2.79,0.103,559,45400
China,1972,930000,1.07,0.234,4230,2000000
Colombia,1972,31500,1.4,0.0783,49.5,124000
Czech Republic,1972,164000,16.5,3.85,1010,213000
Denmark,1972,59600,12,0.294,203,76800
Ecuador,1972,4590,0.714,0,28.4,13200
Egypt,1972,25500,0.706,0.00865,87.7,59100
Finland,1972,44100,9.49,0.481,228,62900
France,1972,482000,9.35,0.546,1710,650000
Germany,1972,1040000,13.2,1.77,3820,1300000
Greece,1972,31500,3.59,0.454,129,50600
Hungary,1972,69400,6.66,0.834,810,92200
India,1972,217000,0.374,0.0694,865,767000
Indonesia,1972,43300,0.358,0.00083,76.8,733000
Iran,1972,106000,3.53,0.0126,388,167000
Ireland,1972,22100,7.38,0.63,90.6,50100
Israel,1972,16900,5.64,0,130,18300
Italy,1972,329000,6.05,0.163,1480,417000
Japan,1972,853000,7.9,0.496,1920,1010000
Kazakhstan,1972,169000,12.6,0,964,219000
Kuwait,1972,27600,32.4,0,177,73500
Lithuania,1972,22900,7.15,0,136,108000
Malaysia,1972,17900,1.58,0.00918,41.7,99600
Mexico,1972,132000,2.42,0.0269,398,229000
Netherlands,1972,158000,11.9,0.223,315,205000
New Zealand,1972,16200,5.53,0.439,38.9,52600
Norway,1972,29400,7.48,0.222,76.4,59200
Pakistan,1972,18900,0.308,0.00955,141,89400
Peru,1972,18200,1.28,0.00937,242,51700
Philippines,1972,26400,0.697,0.00049,190,79500
Poland,1972,330000,9.95,2.27,1510,491000
Portugal,1972,18300,2.08,0.0432,62.9,29600
Qatar,1972,10800,82.6,0,1.85,18400
Romania,1972,132000,6.3,0.377,338,185000
Russia,1972,1610000,12.3,0,7980,2410000
Saudi Arabia,1972,70300,11,0,241,121000
Singapore,1972,22200,10.3,0.00139,39.4,0
Slovak Republic,1972,52300,11.3,1.52,338,53300
South Africa,1972,172000,7.37,1.22,590,251000
South Korea,1972,60300,1.8,0.174,199,91300
Spain,1972,145000,4.18,0.291,1130,198000
Sweden,1972,84800,10.4,0.181,364,107000
Switzerland,1972,43000,6.87,0.0595,80,52000
Thailand,1972,21800,0.559,0.0023,76.6,107000
Trinidad and Tobago,1972,8240,8.51,0,120,8300
Turkey,1972,53800,1.47,0.14,196,109000
Turkmenistan,1972,29900,12.9,0,56.7,32000
Ukraine,1972,489000,10.2,0,1690,584000
United Arab Emirates,1972,23500,70.9,0,0.533,44900
United Kingdom,1972,649000,11.6,1.33,2950,822000
United States,1972,4560000,21.4,1.43,13800,5700000
Uzbekistan,1972,80300,6.28,0,211,88600
Venezuela,1972,62600,5.17,0.0122,346,130000
Vietnam,1972,23100,0.506,0.0237,18.1,78700
Algeria,1973,38300,2.44,0.00146,22.9,67600
Argentina,1973,94000,3.75,0.0301,242,227000
Australia,1973,171000,12.7,1.61,490,333000
Austria,1973,60100,7.9,0.522,197,77400
Azerbaijan,1973,39300,7.17,0,66.1,30900
Bangladesh,1973,4550,0.0673,0.00177,80.3,111000
Belarus,1973,86100,9.43,0,333,151000
Belgium,1973,139000,14.3,1.11,522,172000
Brazil,1973,132000,1.29,0.0247,560,1020000
Bulgaria,1973,68800,7.94,0.95,896,92700
Canada,1973,382000,17,0.695,2910,520000
Chile,1973,27600,2.69,0.11,563,44900
China,1973,966000,1.09,0.232,4330,2060000
Colombia,1973,33700,1.46,0.078,53.3,118000
Czech Republic,1973,164000,16.5,3.75,990,211000
Denmark,1973,59300,11.8,0.449,212,76600
Ecuador,1973,5260,0.795,0,27.8,14200
Egypt,1973,23800,0.645,0.00737,86.9,56600
Finland,1973,49400,10.6,0.532,237,67700
France,1973,518000,9.96,0.535,2000,691000
Germany,1973,1090000,13.8,1.77,3860,1360000
Greece,1973,37200,4.2,0.53,173,54200
Hungary,1973,73000,6.99,0.836,847,98400
India,1973,224000,0.376,0.0669,896,774000
Indonesia,1973,49100,0.396,0.00054,95.6,409000
Iran,1973,130000,4.19,0.0205,427,195000
Ireland,1973,22900,7.54,0.605,92.5,50500
Israel,1973,19300,6.22,0,142,19600
Italy,1973,354000,6.47,0.165,1540,442000
Japan,1973,915000,8.35,0.517,1800,1130000
Kazakhstan,1973,177000,12.9,0,990,210000
Kuwait,1973,24200,26.8,0,187,66600
Lithuania,1973,23900,7.39,0,140,114000
Malaysia,1973,17500,1.51,0.00854,41.4,130000
Mexico,1973,144000,2.56,0.0279,426,242000
Netherlands,1973,165000,12.3,0.224,304,215000
New Zealand,1973,18200,6.09,0.487,41.6,53700
Norway,1973,30500,7.7,0.237,77.2,61100
Pakistan,1973,20000,0.317,0.00923,129,91900
Peru,1973,19700,1.35,0.0104,236,50000
Philippines,1973,31500,0.808,0.00048,193,88800
Poland,1973,336000,10.1,2.26,1570,516000
Portugal,1973,20000,2.24,0.0631,66.3,32100
Qatar,1973,12500,87.7,0,0.107,21000
Romania,1973,145000,6.82,0.42,369,200000
Russia,1973,1680000,12.7,0,8200,2450000
Saudi Arabia,1973,95100,14.2,0,242,163000
Singapore,1973,21200,9.69,0.00198,45.2,0
Slovak Republic,1973,52500,11.3,1.47,330,55000
South Africa,1973,173000,7.26,1.26,639,269000
South Korea,1973,73100,2.14,0.216,227,107000
Spain,1973,155000,4.42,0.281,1230,212000
Sweden,1973,87400,10.7,0.2,338,110000
Switzerland,1973,46200,7.35,0.0561,100,56700
Thailand,1973,24400,0.609,0.00239,88,122000
Trinidad and Tobago,1973,9400,9.57,0,116,0
Turkey,1973,59400,1.58,0.139,207,115000
Turkmenistan,1973,31200,13,0,58.3,34000
Ukraine,1973,509000,10.6,0,1730,607000
United Arab Emirates,1973,30600,77.6,0,2.06,56900
United Kingdom,1973,660000,11.8,1.44,3000,863000
United States,1973,4770000,22.2,1.52,14400,5910000
Uzbekistan,1973,83700,6.37,0,216,93600
Venezuela,1973,66500,5.34,0.0216,396,135000
Vietnam,1973,25100,0.538,0.0333,25.2,83400
Algeria,1974,31900,1.98,0.00117,21.5,59300
Argentina,1974,95500,3.75,0.038,290,229000
Australia,1974,172000,12.7,1.66,526,356000
Austria,1974,57300,7.52,0.549,196,75100
Azerbaijan,1974,40800,7.31,0,68.5,33600
Bangladesh,1974,4660,0.0677,0.00154,55,110000
Belarus,1974,89400,9.73,0,345,156000
Belgium,1974,135000,13.9,1.18,508,173000
Brazil,1974,143000,1.37,0.0256,634,1100000
Bulgaria,1974,71200,8.18,0.929,891,94000
Canada,1974,390000,17.1,0.696,2800,538000
Chile,1974,25900,2.48,0.103,673,43800
China,1974,986000,1.09,0.224,4330,2070000
Colombia,1974,36400,1.55,0.0922,59.1,123000
Czech Republic,1974,166000,16.6,3.71,1020,195000
Denmark,1974,55100,10.9,0.422,225,71600
Ecuador,1974,6090,0.895,0,38.4,15900
Egypt,1974,26100,0.692,0.0126,107,61900
Finland,1974,46600,9.93,0.539,267,64300
France,1974,500000,9.56,0.537,2000,675000
Germany,1974,1060000,13.5,1.78,3850,1340000
Greece,1974,36100,4.05,0.553,158,54300
Hungary,1974,74100,7.06,0.795,833,102000
India,1974,231000,0.38,0.0738,971,797000
Indonesia,1974,51300,0.402,0.00057,108,329000
Iran,1974,144000,4.53,0.0219,513,205000
Ireland,1974,23300,7.56,0.642,104,53300
Israel,1974,19400,6.06,0,135,20100
Italy,1974,359000,6.52,0.178,1600,445000
Japan,1974,915000,8.24,0.541,1610,1120000
Kazakhstan,1974,183000,13.2,0,1030,214000
Kuwait,1974,19300,20.1,0,182,54800
Lithuania,1974,24900,7.61,0,145,120000
Malaysia,1974,19100,1.61,0.00834,43.9,90000
Mexico,1974,155000,2.67,0.0299,517,266000
Netherlands,1974,160000,11.8,0.211,272,210000
New Zealand,1974,18800,6.17,0.493,45.4,55500
Norway,1974,27700,6.96,0.261,78.9,60200
Pakistan,1974,21400,0.33,0.00822,141,95700
Peru,1974,21400,1.42,0.0109,237,53200
Philippines,1974,30500,0.76,0.00065,194,84200
Poland,1974,347000,10.3,2.3,1610,542000
Portugal,1974,20700,2.29,0.0483,88.3,31600
Qatar,1974,10500,68.3,0,0.421,18100
Romania,1974,151000,7.03,0.437,408,204000
Russia,1974,1750000,13.1,0,8500,2530000
Saudi Arabia,1974,98800,14,0,252,171000
Singapore,1974,22000,9.87,0.00239,55.7,0
Slovak Republic,1974,53200,11.3,1.45,340,56000
South Africa,1974,177000,7.2,1.29,671,276000
South Korea,1974,75700,2.18,0.219,264,113000
Spain,1974,173000,4.87,0.269,1440,225000
Sweden,1974,79900,9.77,0.22,357,103000
Switzerland,1974,41500,6.56,0.0481,110,51900
Thailand,1974,24200,0.587,0.00349,87.1,111000
Trinidad and Tobago,1974,10100,10.1,0,116,0
Turkey,1974,61000,1.59,0.148,231,118000
Turkmenistan,1974,32400,13.2,0,60.4,36500
Ukraine,1974,528000,10.9,0,1800,622000
United Arab Emirates,1974,31300,67,0,8.89,57400
